PERIODO,COLE_BILINGUE,COLE_DEPTO_UBICACION,COLE_JORNADA,COLE_NATURALEZA,ESTU_GENERO,PUNT_INGLES,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_GLOBAL
20172,,BOGOTA,COMPLETA,NO OFICIAL,M,65.0,73.0,66.0,79.0,72.0,360.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,45.0,51.0,55.0,55.0,44.0,254.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,31.0,40.0,35.0,49.0,51.0,214.0
20181,N,BOGOTA,MAÑANA,NO OFICIAL,M,53.0,47.0,44.0,49.0,58.0,249.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,46.0,35.0,34.0,41.0,50.0,202.0
20172,N,BOGOTA,TARDE,OFICIAL,F,58.0,46.0,49.0,51.0,61.0,261.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,39.0,55.0,53.0,55.0,54.0,265.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,55.0,46.0,50.0,52.0,53.0,253.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,39.0,59.0,62.0,53.0,57.0,282.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,65.0,56.0,57.0,61.0,64.0,300.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,38.0,49.0,53.0,49.0,58.0,256.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,41.0,47.0,42.0,52.0,47.0,233.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,69.0,70.0,69.0,64.0,67.0,338.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,41.0,66.0,54.0,49.0,52.0,271.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,68.0,71.0,69.0,61.0,73.0,342.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,79.0,50.0,60.0,58.0,59.0,292.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,42.0,50.0,42.0,43.0,43.0,222.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,65.0,49.0,59.0,56.0,53.0,275.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,57.0,47.0,45.0,50.0,64.0,260.0
20172,N,BOGOTA,TARDE,OFICIAL,F,61.0,66.0,71.0,64.0,69.0,335.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,53.0,55.0,53.0,54.0,57.0,273.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,39.0,62.0,45.0,54.0,51.0,260.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,M,90.0,66.0,79.0,71.0,63.0,357.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,53.0,63.0,64.0,64.0,71.0,323.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,44.0,44.0,58.0,42.0,56.0,248.0
20172,,BOGOTA,UNICA,OFICIAL,F,59.0,48.0,53.0,47.0,52.0,253.0
20172,N,BOGOTA,TARDE,OFICIAL,M,45.0,52.0,48.0,54.0,49.0,252.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,53.0,64.0,51.0,56.0,60.0,287.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,51.0,55.0,35.0,48.0,51.0,238.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,59.0,49.0,54.0,55.0,58.0,272.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,68.0,60.0,55.0,62.0,61.0,301.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,60.0,57.0,63.0,54.0,61.0,294.0
20172,,BOGOTA,TARDE,OFICIAL,M,54.0,63.0,66.0,68.0,71.0,330.0
20172,N,BOGOTA,TARDE,OFICIAL,M,54.0,62.0,59.0,58.0,62.0,299.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,40.0,43.0,51.0,55.0,47.0,242.0
20172,N,BOGOTA,TARDE,OFICIAL,M,76.0,77.0,72.0,69.0,77.0,370.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,M,64.0,59.0,60.0,49.0,48.0,274.0
20172,N,BOGOTA,TARDE,OFICIAL,M,55.0,58.0,55.0,56.0,56.0,281.0
20172,,BOGOTA,TARDE,OFICIAL,M,59.0,61.0,71.0,62.0,71.0,328.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,F,79.0,73.0,71.0,74.0,65.0,357.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,F,79.0,73.0,71.0,74.0,65.0,357.0
20181,N,BOGOTA,NOCHE,NO OFICIAL,F,34.0,31.0,38.0,41.0,42.0,188.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,F,100.0,66.0,71.0,62.0,74.0,353.0
20172,N,BOGOTA,SABATINA,NO OFICIAL,F,37.0,33.0,54.0,44.0,59.0,233.0
20172,N,BOGOTA,NOCHE,NO OFICIAL,F,48.0,28.0,30.0,35.0,30.0,160.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,59.0,61.0,63.0,57.0,63.0,304.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,71.0,74.0,79.0,75.0,74.0,376.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,61.0,68.0,56.0,53.0,53.0,289.0
20172,,BOGOTA,MAÑANA,NO OFICIAL,M,32.0,31.0,37.0,45.0,47.0,197.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,64.0,44.0,52.0,50.0,45.0,245.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,62.0,55.0,49.0,60.0,58.0,280.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,54.0,34.0,29.0,44.0,49.0,201.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,48.0,45.0,43.0,47.0,47.0,228.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,43.0,50.0,46.0,48.0,51.0,242.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,40.0,63.0,57.0,57.0,50.0,277.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,34.0,46.0,39.0,48.0,41.0,214.0
20172,N,BOGOTA,COMPLETA,OFICIAL,F,71.0,60.0,63.0,57.0,68.0,313.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,42.0,46.0,51.0,50.0,62.0,257.0
20172,N,BOGOTA,UNICA,OFICIAL,M,41.0,38.0,44.0,44.0,45.0,213.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,38.0,27.0,36.0,39.0,38.0,176.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,48.0,43.0,40.0,47.0,43.0,218.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,70.0,73.0,61.0,68.0,62.0,332.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,65.0,68.0,57.0,59.0,63.0,310.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,64.0,49.0,58.0,54.0,60.0,280.0
20172,N,BOGOTA,COMPLETA,OFICIAL,M,46.0,57.0,54.0,56.0,61.0,281.0
20181,,BOGOTA,COMPLETA,NO OFICIAL,M,69.0,68.0,58.0,66.0,67.0,325.0
20172,N,BOGOTA,TARDE,OFICIAL,F,59.0,65.0,56.0,62.0,60.0,303.0
20172,N,BOGOTA,MAÑANA,NO OFICIAL,M,41.0,33.0,35.0,44.0,43.0,195.0
20172,N,BOGOTA,COMPLETA,OFICIAL,F,45.0,46.0,44.0,44.0,42.0,220.0
20172,N,BOGOTA,NOCHE,OFICIAL,F,42.0,26.0,41.0,39.0,56.0,203.0
20172,N,BOGOTA,TARDE,OFICIAL,F,48.0,73.0,70.0,64.0,61.0,328.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,32.0,31.0,35.0,42.0,48.0,192.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,82.0,66.0,63.0,71.0,70.0,343.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,48.0,66.0,51.0,57.0,65.0,294.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,46.0,57.0,48.0,51.0,53.0,259.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,79.0,74.0,82.0,76.0,76.0,386.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,73.0,67.0,70.0,65.0,68.0,340.0
20172,N,BOGOTA,TARDE,OFICIAL,F,37.0,45.0,47.0,52.0,44.0,231.0
20172,N,BOGOTA,TARDE,OFICIAL,M,59.0,50.0,51.0,58.0,55.0,270.0
20172,N,BOGOTA,UNICA,OFICIAL,F,51.0,57.0,64.0,59.0,60.0,297.0
20172,N,BOGOTA,SABATINA,NO OFICIAL,F,37.0,44.0,51.0,37.0,53.0,228.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,80.0,67.0,61.0,65.0,58.0,320.0
20172,N,BOGOTA,MAÑANA,NO OFICIAL,M,37.0,41.0,40.0,34.0,48.0,202.0
20172,,BOGOTA,TARDE,OFICIAL,F,61.0,61.0,72.0,60.0,66.0,322.0
20172,N,BOGOTA,NOCHE,OFICIAL,F,41.0,30.0,33.0,35.0,43.0,178.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,57.0,58.0,51.0,56.0,60.0,282.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,F,87.0,74.0,65.0,68.0,69.0,352.0
20172,N,BOGOTA,NOCHE,OFICIAL,F,35.0,40.0,36.0,53.0,49.0,219.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,56.0,59.0,52.0,49.0,63.0,279.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,M,84.0,72.0,68.0,64.0,60.0,337.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,M,84.0,72.0,68.0,64.0,60.0,337.0
